# shape 8  surface 320x240  origin 9322496  clear ff102030
# counters drawn=1 software=0 unsupported=0 declined=0 warp=0
# mode hardware
R 0
R 1
R 2
R 3
R 4
R 5
R 6
R 7
R 8
R 9
R 10
R 11
R 12
R 13
R 14
R 15
R 16
R 17
R 18
R 19
R 20
R 21
R 22
R 23
R 24
R 25
R 26
R 27
R 28
R 29
R 30
R 31
R 32
R 33
R 34
R 35
R 36
R 37
R 38
R 39
R 40 00ff00:40-199
R 41 00ff00:41-199
R 42 00ff00:42-198
R 43 00ff00:42-198
R 44 00ff00:43-197
R 45 00ff00:43-197
R 46 00ff00:44-196
R 47 00ff00:44-195
R 48 00ff00:45-195
R 49 00ff00:46-194
R 50 00ff00:46-194
R 51 00ff00:47-193
R 52 00ff00:47-193
R 53 00ff00:48-192
R 54 00ff00:48-191
R 55 00ff00:49-191
R 56 00ff00:50-190
R 57 00ff00:50-190
R 58 00ff00:51-189
R 59 00ff00:51-189
R 60 00ff00:52-188
R 61 00ff00:52-187
R 62 00ff00:53-187
R 63 00ff00:54-186
R 64 00ff00:54-186
R 65 00ff00:55-185
R 66 00ff00:55-185
R 67 00ff00:56-184
R 68 00ff00:56-183
R 69 00ff00:57-183
R 70 00ff00:58-182
R 71 00ff00:58-182
R 72 00ff00:59-181
R 73 00ff00:59-181
R 74 00ff00:60-180
R 75 00ff00:60-179
R 76 00ff00:61-179
R 77 00ff00:62-178
R 78 00ff00:62-178
R 79 00ff00:63-177
R 80 00ff00:63-177
R 81 00ff00:64-176
R 82 00ff00:64-175
R 83 00ff00:65-175
R 84 00ff00:66-174
R 85 00ff00:66-174
R 86 00ff00:67-173
R 87 00ff00:67-173
R 88 00ff00:68-172
R 89 00ff00:68-171
R 90 00ff00:69-171
R 91 00ff00:70-170
R 92 00ff00:70-170
R 93 00ff00:71-169
R 94 00ff00:71-169
R 95 00ff00:72-168
R 96 00ff00:72-167
R 97 00ff00:73-167
R 98 00ff00:74-166
R 99 00ff00:74-166
R 100 00ff00:75-165
R 101 00ff00:75-165
R 102 00ff00:76-164
R 103 00ff00:76-163
R 104 00ff00:77-163
R 105 00ff00:78-162
R 106 00ff00:78-162
R 107 00ff00:79-161
R 108 00ff00:79-161
R 109 00ff00:80-160
R 110 00ff00:80-159
R 111 00ff00:81-159
R 112 00ff00:82-158
R 113 00ff00:82-158
R 114 00ff00:83-157
R 115 00ff00:83-157
R 116 00ff00:84-156
R 117 00ff00:84-155
R 118 00ff00:85-155
R 119 00ff00:86-154
R 120 00ff00:86-154
R 121 00ff00:87-153
R 122 00ff00:87-153
R 123 00ff00:88-152
R 124 00ff00:88-151
R 125 00ff00:89-151
R 126 00ff00:90-150
R 127 00ff00:90-150
R 128 00ff00:91-149
R 129 00ff00:91-149
R 130 00ff00:92-148
R 131 00ff00:92-147
R 132 00ff00:93-147
R 133 00ff00:94-146
R 134 00ff00:94-146
R 135 00ff00:95-145
R 136 00ff00:95-145
R 137 00ff00:96-144
R 138 00ff00:96-143
R 139 00ff00:97-143
R 140 00ff00:98-142
R 141 00ff00:98-142
R 142 00ff00:99-141
R 143 00ff00:99-141
R 144 00ff00:100-140
R 145 00ff00:100-139
R 146 00ff00:101-139
R 147 00ff00:102-138
R 148 00ff00:102-138
R 149 00ff00:103-137
R 150 00ff00:103-137
R 151 00ff00:104-136
R 152 00ff00:104-135
R 153 00ff00:105-135
R 154 00ff00:106-134
R 155 00ff00:106-134
R 156 00ff00:107-133
R 157 00ff00:107-133
R 158 00ff00:108-132
R 159 00ff00:108-131
R 160 00ff00:109-131
R 161 00ff00:110-130
R 162 00ff00:110-130
R 163 00ff00:111-129
R 164 00ff00:111-129
R 165 00ff00:112-128
R 166 00ff00:112-127
R 167 00ff00:113-127
R 168 00ff00:114-126
R 169 00ff00:114-126
R 170 00ff00:115-125
R 171 00ff00:115-125
R 172 00ff00:116-124
R 173 00ff00:116-123
R 174 00ff00:117-123
R 175 00ff00:118-122
R 176 00ff00:118-122
R 177 00ff00:119-121
R 178 00ff00:119-121
R 179 00ff00:120-120
R 180
R 181
R 182
R 183
R 184
R 185
R 186
R 187
R 188
R 189
R 190
R 191
R 192
R 193
R 194
R 195
R 196
R 197
R 198
R 199
R 200
R 201
R 202
R 203
R 204
R 205
R 206
R 207
R 208
R 209
R 210
R 211
R 212
R 213
R 214
R 215
R 216
R 217
R 218
R 219
R 220
R 221
R 222
R 223
R 224
R 225
R 226
R 227
R 228
R 229
R 230
R 231
R 232
R 233
R 234
R 235
R 236
R 237
R 238
R 239
