# shape 5  surface 320x240  origin 0  clear ff102030
# counters drawn=0 software=0 unsupported=0 declined=0 warp=0
# mode software
R 0
R 1
R 2
R 3
R 4
R 5
R 6
R 7
R 8
R 9
R 10
R 11
R 12
R 13
R 14
R 15
R 16
R 17
R 18
R 19
R 20
R 21
R 22
R 23
R 24
R 25
R 26
R 27
R 28
R 29
R 30
R 31
R 32
R 33
R 34
R 35
R 36
R 37
R 38
R 39
R 40 00ff00:40-199
R 41 00ff00:40-199
R 42 00ff00:40-199
R 43 00ff00:40-199
R 44 00ff00:40-199
R 45 00ff00:40-199
R 46 00ff00:40-199
R 47 00ff00:40-199
R 48 00ff00:40-199
R 49 00ff00:40-199
R 50 00ff00:40-199
R 51 00ff00:40-199
R 52 00ff00:40-199
R 53 00ff00:40-199
R 54 00ff00:40-199
R 55 00ff00:40-199
R 56 00ff00:40-199
R 57 00ff00:40-199
R 58 00ff00:40-199
R 59 00ff00:40-199
R 60 00ff00:40-199
R 61 00ff00:40-199
R 62 00ff00:40-199
R 63 00ff00:40-199
R 64 00ff00:40-199
R 65 00ff00:40-199
R 66 00ff00:40-199
R 67 00ff00:40-199
R 68 00ff00:40-199
R 69 00ff00:40-199
R 70 00ff00:40-199
R 71 00ff00:40-199
R 72 00ff00:40-199
R 73 00ff00:40-199
R 74 00ff00:40-199
R 75 00ff00:40-199
R 76 00ff00:40-199
R 77 00ff00:40-199
R 78 00ff00:40-199
R 79 00ff00:40-199
R 80 00ff00:40-199
R 81 00ff00:40-199
R 82 00ff00:40-199
R 83 00ff00:40-199
R 84 00ff00:40-199
R 85 00ff00:40-199
R 86 00ff00:40-199
R 87 00ff00:40-199
R 88 00ff00:40-199
R 89 00ff00:40-199
R 90 00ff00:40-199
R 91 00ff00:40-199
R 92 00ff00:40-199
R 93 00ff00:40-199
R 94 00ff00:40-199
R 95 00ff00:40-199
R 96 00ff00:40-199
R 97 00ff00:40-199
R 98 00ff00:40-199
R 99 00ff00:40-199
R 100 00ff00:40-199
R 101 00ff00:40-199
R 102 00ff00:40-199
R 103 00ff00:40-199
R 104 00ff00:40-199
R 105 00ff00:40-199
R 106 00ff00:40-199
R 107 00ff00:40-199
R 108 00ff00:40-199
R 109 00ff00:40-199
R 110 00ff00:40-199
R 111 00ff00:40-199
R 112 00ff00:40-199
R 113 00ff00:40-199
R 114 00ff00:40-199
R 115 00ff00:40-199
R 116 00ff00:40-199
R 117 00ff00:40-199
R 118 00ff00:40-199
R 119 00ff00:40-199
R 120 00ff00:40-199
R 121 00ff00:40-199
R 122 00ff00:40-199
R 123 00ff00:40-199
R 124 00ff00:40-199
R 125 00ff00:40-199
R 126 00ff00:40-199
R 127 00ff00:40-199
R 128 00ff00:40-199
R 129 00ff00:40-199
R 130 00ff00:40-199
R 131 00ff00:40-199
R 132 00ff00:40-199
R 133 00ff00:40-199
R 134 00ff00:40-199
R 135 00ff00:40-199
R 136 00ff00:40-199
R 137 00ff00:40-199
R 138 00ff00:40-199
R 139 00ff00:40-199
R 140 00ff00:40-199
R 141 00ff00:40-199
R 142 00ff00:40-199
R 143 00ff00:40-199
R 144 00ff00:40-199
R 145 00ff00:40-199
R 146 00ff00:40-199
R 147 00ff00:40-199
R 148 00ff00:40-199
R 149 00ff00:40-199
R 150 00ff00:40-199
R 151 00ff00:40-199
R 152 00ff00:40-199
R 153 00ff00:40-199
R 154 00ff00:40-199
R 155 00ff00:40-199
R 156 00ff00:40-199
R 157 00ff00:40-199
R 158 00ff00:40-199
R 159 00ff00:40-199
R 160 00ff00:40-199
R 161 00ff00:40-199
R 162 00ff00:40-199
R 163 00ff00:40-199
R 164 00ff00:40-199
R 165 00ff00:40-199
R 166 00ff00:40-199
R 167 00ff00:40-199
R 168 00ff00:40-199
R 169 00ff00:40-199
R 170 00ff00:40-199
R 171 00ff00:40-199
R 172 00ff00:40-199
R 173 00ff00:40-199
R 174 00ff00:40-199
R 175 00ff00:40-199
R 176 00ff00:40-199
R 177 00ff00:40-199
R 178 00ff00:40-199
R 179 00ff00:40-199
R 180
R 181
R 182
R 183
R 184
R 185
R 186
R 187
R 188
R 189
R 190
R 191
R 192
R 193
R 194
R 195
R 196
R 197
R 198
R 199
R 200
R 201
R 202
R 203
R 204
R 205
R 206
R 207
R 208
R 209
R 210
R 211
R 212
R 213
R 214
R 215
R 216
R 217
R 218
R 219
R 220
R 221
R 222
R 223
R 224
R 225
R 226
R 227
R 228
R 229
R 230
R 231
R 232
R 233
R 234
R 235
R 236
R 237
R 238
R 239
