# shape 3  surface 320x240  origin 9322496  clear ff102030
# counters drawn=2 software=0 unsupported=0 declined=0 warp=2
# mode hardware
R 0
R 1
R 2
R 3
R 4 00ff00:120-299
R 5 00ff00:120-299
R 6 00ff00:120-299
R 7 00ff00:120-299
R 8 00ff00:120-299
R 9 00ff00:120-299
R 10 00ff00:120-299
R 11 00ff00:120-299
R 12 00ff00:120-299
R 13 00ff00:120-299
R 14 00ff00:120-299
R 15 00ff00:120-299
R 16 00ff00:120-299
R 17 00ff00:120-299
R 18 00ff00:120-299
R 19 00ff00:120-299
R 20 00ff00:120-299
R 21 00ff00:120-299
R 22 00ff00:120-299
R 23 00ff00:120-299
R 24 00ff00:120-299
R 25 00ff00:120-299
R 26 00ff00:120-299
R 27 00ff00:120-299
R 28 00ff00:120-299
R 29 00ff00:120-299
R 30 00ff00:120-299
R 31 00ff00:120-299
R 32 00ff00:120-299
R 33 00ff00:120-299
R 34 00ff00:120-299
R 35 00ff00:120-299
R 36 00ff00:120-299
R 37 00ff00:120-299
R 38 00ff00:120-299
R 39 00ff00:120-299
R 40 00ff00:120-299
R 41 00ff00:120-299
R 42 00ff00:120-299
R 43 00ff00:120-299
R 44 00ff00:120-299
R 45 00ff00:120-299
R 46 00ff00:120-299
R 47 00ff00:120-299
R 48 00ff00:120-299
R 49 00ff00:120-299
R 50 00ff00:120-299
R 51 00ff00:120-299
R 52 00ff00:120-299
R 53 00ff00:120-299
R 54 00ff00:120-299
R 55 00ff00:120-299
R 56 00ff00:120-299
R 57 00ff00:120-299
R 58 00ff00:120-299
R 59 00ff00:120-299
R 60 00ff00:120-299
R 61 00ff00:120-299
R 62 00ff00:120-299
R 63 00ff00:120-299
R 64 00ff00:120-299
R 65 00ff00:120-299
R 66 00ff00:120-299
R 67 00ff00:120-299
R 68 00ff00:120-299
R 69 00ff00:120-299
R 70 00ff00:120-299
R 71 00ff00:120-299
R 72 00ff00:120-299
R 73 00ff00:120-299
R 74 00ff00:120-299
R 75 00ff00:120-299
R 76 00ff00:120-299
R 77 00ff00:120-299
R 78 00ff00:120-299
R 79 00ff00:120-299
R 80 00ff00:120-299
R 81 00ff00:120-299
R 82 00ff00:120-299
R 83 00ff00:120-299
R 84 00ff00:120-299
R 85 00ff00:120-299
R 86 00ff00:120-299
R 87 00ff00:120-299
R 88 00ff00:120-299
R 89 00ff00:120-299
R 90 00ff00:120-299
R 91 00ff00:120-299
R 92 00ff00:120-299
R 93 00ff00:120-299
R 94 00ff00:120-299
R 95 00ff00:120-299
R 96 00ff00:120-299
R 97 00ff00:120-299
R 98 00ff00:120-299
R 99 00ff00:120-299
R 100 00ff00:120-299
R 101 00ff00:120-299
R 102 00ff00:120-299
R 103 00ff00:120-299
R 104 00ff00:120-299
R 105 00ff00:120-299
R 106 00ff00:120-299
R 107 00ff00:120-299
R 108 00ff00:120-299
R 109 00ff00:120-299
R 110 00ff00:120-299
R 111 00ff00:120-299
R 112 00ff00:120-299
R 113 00ff00:120-299
R 114 00ff00:120-299
R 115 00ff00:120-299
R 116 00ff00:120-299
R 117 00ff00:120-299
R 118 00ff00:120-299
R 119 00ff00:120-299
R 120 00ff00:120-299
R 121 00ff00:120-299
R 122 00ff00:120-299
R 123 00ff00:120-299
R 124 00ff00:120-299
R 125 00ff00:120-299
R 126 00ff00:120-299
R 127 00ff00:120-299
R 128 00ff00:120-299
R 129 00ff00:120-299
R 130 00ff00:120-299
R 131 00ff00:120-299
R 132 00ff00:120-299
R 133 00ff00:120-299
R 134 00ff00:120-299
R 135 00ff00:120-299
R 136 00ff00:120-299
R 137 00ff00:120-299
R 138 00ff00:120-299
R 139 00ff00:120-299
R 140 00ff00:120-299
R 141 00ff00:120-299
R 142 00ff00:120-299
R 143 00ff00:120-299
R 144 00ff00:120-299
R 145 00ff00:120-299
R 146 00ff00:120-299
R 147 00ff00:120-299
R 148 00ff00:120-299
R 149 00ff00:120-299
R 150 00ff00:120-299
R 151 00ff00:120-299
R 152 00ff00:120-299
R 153 00ff00:120-299
R 154 00ff00:120-299
R 155 00ff00:120-299
R 156 00ff00:120-299
R 157 00ff00:120-299
R 158 00ff00:120-299
R 159 00ff00:120-299
R 160 00ff00:120-299
R 161 00ff00:120-299
R 162 00ff00:120-299
R 163 00ff00:120-299
R 164 00ff00:120-299
R 165 00ff00:120-299
R 166 00ff00:120-299
R 167 00ff00:120-299
R 168 00ff00:120-299
R 169 00ff00:120-299
R 170 00ff00:120-299
R 171 00ff00:120-299
R 172 00ff00:120-299
R 173 00ff00:120-299
R 174 00ff00:120-299
R 175 00ff00:120-299
R 176 00ff00:120-299
R 177 00ff00:120-299
