# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 2  background -1
# vertex 0  108 86  objz -0.7500000000  wantcode 57343.1250
# vertex 1  89 105  objz 0.5500000000  wantcode 14745.3750
# vertex 2  47 220  objz 0.1000000000  wantcode 29490.7500
# counters drawn=1 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode hardware
P 107 86 56222 1
P 106 87 53980 1
P 105 88 51738 1
P 106 88 55472 1
P 104 89 49496 1
P 105 89 53230 1
P 103 90 47254 1
P 104 90 50988 1
P 105 90 54722 1
P 102 91 45012 1
P 103 91 48746 1
P 104 91 52480 1
P 101 92 42770 1
P 102 92 46504 1
P 103 92 50238 1
P 104 92 53972 1
P 100 93 40528 1
P 101 93 44262 1
P 102 93 47996 1
P 103 93 51730 1
P 104 93 55464 1
P 99 94 38286 1
P 100 94 42020 1
P 101 94 45754 1
P 102 94 49488 1
P 103 94 53222 1
P 98 95 36044 1
P 99 95 39778 1
P 100 95 43512 1
P 101 95 47246 1
P 102 95 50980 1
P 103 95 54714 1
P 97 96 33802 1
P 98 96 37536 1
P 99 96 41270 1
P 100 96 45004 1
P 101 96 48738 1
P 102 96 52472 1
P 96 97 31560 1
P 97 97 35294 1
P 98 97 39028 1
P 99 97 42762 1
P 100 97 46496 1
P 101 97 50230 1
P 102 97 53964 1
P 95 98 29318 1
P 96 98 33052 1
P 97 98 36786 1
P 98 98 40520 1
P 99 98 44254 1
P 100 98 47988 1
P 101 98 51722 1
P 94 99 27076 1
P 95 99 30810 1
P 96 99 34544 1
P 97 99 38278 1
P 98 99 42012 1
P 99 99 45746 1
P 100 99 49480 1
P 101 99 53214 1
P 93 100 24834 1
P 94 100 28568 1
P 95 100 32302 1
P 96 100 36036 1
P 97 100 39770 1
P 98 100 43504 1
P 99 100 47238 1
P 100 100 50972 1
P 92 101 22592 1
P 93 101 26326 1
P 94 101 30060 1
P 95 101 33794 1
P 96 101 37528 1
P 97 101 41262 1
P 98 101 44996 1
P 99 101 48730 1
P 100 101 52463 1
P 91 102 20350 1
P 92 102 24084 1
P 93 102 27818 1
P 94 102 31552 1
P 95 102 35286 1
P 96 102 39020 1
P 97 102 42754 1
P 98 102 46488 1
P 99 102 50221 1
P 90 103 18108 1
P 91 103 21842 1
P 92 103 25576 1
P 93 103 29310 1
P 94 103 33044 1
P 95 103 36778 1
P 96 103 40512 1
P 97 103 44246 1
P 98 103 47979 1
P 99 103 51713 1
P 89 104 15866 1
P 90 104 19600 1
P 91 104 23334 1
P 92 104 27068 1
P 93 104 30802 1
P 94 104 34536 1
P 95 104 38270 1
P 96 104 42004 1
P 97 104 45737 1
P 98 104 49471 1
P 99 104 53205 1
P 89 105 17358 1
P 90 105 21092 1
P 91 105 24826 1
P 92 105 28560 1
P 93 105 32294 1
P 94 105 36028 1
P 95 105 39762 1
P 96 105 43495 1
P 97 105 47229 1
P 98 105 50963 1
P 88 106 15116 1
P 89 106 18850 1
P 90 106 22584 1
P 91 106 26318 1
P 92 106 30052 1
P 93 106 33786 1
P 94 106 37520 1
P 95 106 41254 1
P 96 106 44987 1
P 97 106 48721 1
P 98 106 52455 1
P 88 107 16608 1
P 89 107 20342 1
P 90 107 24076 1
P 91 107 27810 1
P 92 107 31544 1
P 93 107 35278 1
P 94 107 39012 1
P 95 107 42745 1
P 96 107 46479 1
P 97 107 50213 1
P 88 108 18100 1
P 89 108 21834 1
P 90 108 25568 1
P 91 108 29302 1
P 92 108 33036 1
P 93 108 36770 1
P 94 108 40503 1
P 95 108 44237 1
P 96 108 47971 1
P 97 108 51705 1
P 87 109 15858 1
P 88 109 19592 1
P 89 109 23326 1
P 90 109 27060 1
P 91 109 30794 1
P 92 109 34528 1
P 93 109 38261 1
P 94 109 41995 1
P 95 109 45729 1
P 96 109 49463 1
P 87 110 17350 1
P 88 110 21084 1
P 89 110 24818 1
P 90 110 28552 1
P 91 110 32286 1
P 92 110 36019 1
P 93 110 39753 1
P 94 110 43487 1
P 95 110 47221 1
P 96 110 50955 1
P 87 111 18842 1
P 88 111 22576 1
P 89 111 26310 1
P 90 111 30044 1
P 91 111 33777 1
P 92 111 37511 1
P 93 111 41245 1
P 94 111 44979 1
P 95 111 48713 1
P 86 112 16600 1
P 87 112 20334 1
P 88 112 24068 1
P 89 112 27802 1
P 90 112 31535 1
P 91 112 35269 1
P 92 112 39003 1
P 93 112 42737 1
P 94 112 46471 1
P 95 112 50205 1
P 86 113 18092 1
P 87 113 21826 1
P 88 113 25560 1
P 89 113 29293 1
P 90 113 33027 1
P 91 113 36761 1
P 92 113 40495 1
P 93 113 44229 1
P 94 113 47963 1
P 86 114 19584 1
P 87 114 23318 1
P 88 114 27051 1
P 89 114 30785 1
P 90 114 34519 1
P 91 114 38253 1
P 92 114 41987 1
P 93 114 45721 1
P 94 114 49455 1
P 85 115 17342 1
P 86 115 21076 1
P 87 115 24810 1
P 88 115 28543 1
P 89 115 32277 1
P 90 115 36011 1
P 91 115 39745 1
P 92 115 43479 1
P 93 115 47213 1
P 94 115 50947 1
P 85 116 18834 1
P 86 116 22568 1
P 87 116 26301 1
P 88 116 30035 1
P 89 116 33769 1
P 90 116 37503 1
P 91 116 41237 1
P 92 116 44971 1
P 93 116 48705 1
P 84 117 16592 1
P 85 117 20326 1
P 86 117 24059 1
P 87 117 27793 1
P 88 117 31527 1
P 89 117 35261 1
P 90 117 38995 1
P 91 117 42729 1
P 92 117 46463 1
P 93 117 50197 1
P 84 118 18084 1
P 85 118 21817 1
P 86 118 25551 1
P 87 118 29285 1
P 88 118 33019 1
P 89 118 36753 1
P 90 118 40487 1
P 91 118 44221 1
P 92 118 47955 1
P 84 119 19575 1
P 85 119 23309 1
P 86 119 27043 1
P 87 119 30777 1
P 88 119 34511 1
P 89 119 38245 1
P 90 119 41979 1
P 91 119 45713 1
P 92 119 49447 1
P 83 120 17333 1
P 84 120 21067 1
P 85 120 24801 1
P 86 120 28535 1
P 87 120 32269 1
P 88 120 36003 1
P 89 120 39737 1
P 90 120 43471 1
P 91 120 47205 1
P 83 121 18825 1
P 84 121 22559 1
P 85 121 26293 1
P 86 121 30027 1
P 87 121 33761 1
