# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=1 software=0 unsupported=0 declined=0
# mode hardware
P 160 41 65535 1
P 160 42 65535 1
P 161 42 65535 1
P 160 43 65535 1
P 161 43 65535 1
P 162 43 65535 1
P 160 44 65535 1
P 161 44 65535 1
P 162 44 65535 1
P 163 44 65535 1
P 160 45 65535 1
P 161 45 65535 1
P 162 45 65535 1
P 163 45 65535 1
P 164 45 65535 1
P 160 46 65535 1
P 161 46 65535 1
P 162 46 65535 1
P 163 46 65535 1
P 164 46 65535 1
P 165 46 65535 1
P 160 47 65535 1
P 161 47 65535 1
P 162 47 65535 1
P 163 47 65535 1
P 164 47 65535 1
P 165 47 65535 1
P 166 47 65535 1
P 159 48 65535 1
P 160 48 65535 1
P 161 48 65535 1
P 162 48 65535 1
P 163 48 65535 1
P 164 48 65535 1
P 165 48 65535 1
P 166 48 65535 1
P 167 48 65535 1
P 159 49 65535 1
P 160 49 65535 1
P 161 49 65535 1
P 162 49 65535 1
P 163 49 65535 1
P 164 49 65535 1
P 165 49 65535 1
P 166 49 65535 1
P 167 49 65535 1
P 159 50 65535 1
P 160 50 65535 1
P 161 50 65535 1
P 162 50 65535 1
P 163 50 65535 1
P 164 50 65535 1
P 165 50 65535 1
P 166 50 65535 1
P 167 50 65535 1
P 159 51 65535 1
P 160 51 65535 1
P 161 51 65535 1
P 162 51 65535 1
P 163 51 65535 1
P 164 51 65535 1
P 165 51 65535 1
P 166 51 65535 1
P 167 51 65535 1
P 159 52 65535 1
P 160 52 65535 1
P 161 52 65535 1
P 162 52 65535 1
P 163 52 65535 1
P 164 52 65535 1
P 165 52 65535 1
P 166 52 65535 1
P 159 53 65535 1
P 160 53 65535 1
P 161 53 65535 1
P 162 53 65535 1
P 163 53 65535 1
P 164 53 65535 1
P 165 53 65535 1
P 166 53 65535 1
P 159 54 65535 1
P 160 54 65535 1
P 161 54 65535 1
P 162 54 65535 1
P 163 54 65535 1
P 164 54 65535 1
P 165 54 65535 1
P 166 54 65535 1
P 159 55 65535 1
P 160 55 65535 1
P 161 55 65535 1
P 162 55 65535 1
P 163 55 65535 1
P 164 55 65535 1
P 165 55 65535 1
P 166 55 65535 1
P 159 56 65535 1
P 160 56 65535 1
P 161 56 65535 1
P 162 56 65535 1
P 163 56 65535 1
P 164 56 65535 1
P 165 56 65535 1
P 166 56 65535 1
P 159 57 65535 1
P 160 57 65535 1
P 161 57 65535 1
P 162 57 65535 1
P 163 57 65535 1
P 164 57 65535 1
P 165 57 65535 1
P 166 57 65535 1
P 159 58 65535 1
P 160 58 65535 1
P 161 58 65535 1
P 162 58 65535 1
P 163 58 65535 1
P 164 58 65535 1
P 165 58 65535 1
P 166 58 65535 1
P 159 59 65535 1
P 160 59 65535 1
P 161 59 65535 1
P 162 59 65535 1
P 163 59 65535 1
P 164 59 65535 1
P 165 59 65535 1
P 166 59 65535 1
P 159 60 65535 1
P 160 60 65535 1
P 161 60 65535 1
P 162 60 65535 1
P 163 60 65535 1
P 164 60 65535 1
P 165 60 65535 1
P 166 60 65535 1
P 159 61 65535 1
P 160 61 65535 1
P 161 61 65535 1
P 162 61 65535 1
P 163 61 65535 1
P 164 61 65535 1
P 165 61 65535 1
P 159 62 65535 1
P 160 62 65535 1
P 161 62 65535 1
P 162 62 65535 1
P 163 62 65535 1
P 164 62 65535 1
P 165 62 65535 1
P 159 63 65535 1
P 160 63 65535 1
P 161 63 65535 1
P 162 63 65535 1
P 163 63 65535 1
P 164 63 65535 1
P 165 63 65535 1
P 158 64 65535 1
P 159 64 65535 1
P 160 64 65535 1
P 161 64 65535 1
P 162 64 65535 1
P 163 64 65535 1
P 164 64 65535 1
P 165 64 65535 1
P 158 65 65535 1
P 159 65 65535 1
P 160 65 65535 1
P 161 65 65535 1
P 162 65 65535 1
P 163 65 65535 1
P 164 65 65535 1
P 165 65 65535 1
P 158 66 65535 1
P 159 66 65535 1
P 160 66 65535 1
P 161 66 65535 1
P 162 66 65535 1
P 163 66 65535 1
P 164 66 65535 1
P 165 66 65535 1
P 158 67 65535 1
P 159 67 65535 1
P 160 67 65535 1
P 161 67 65535 1
P 162 67 65535 1
P 163 67 65535 1
P 164 67 65535 1
P 165 67 65535 1
P 158 68 65535 1
P 159 68 65535 1
P 160 68 65535 1
P 161 68 65535 1
P 162 68 65535 1
P 163 68 65535 1
P 164 68 65535 1
P 165 68 65535 1
P 158 69 65535 1
P 159 69 65535 1
P 160 69 65535 1
P 161 69 65535 1
P 162 69 65535 1
P 163 69 65535 1
P 164 69 65535 1
P 158 70 65535 1
P 159 70 65535 1
P 160 70 65535 1
P 161 70 65535 1
P 162 70 65535 1
P 163 70 65535 1
P 164 70 65535 1
P 158 71 65535 1
P 159 71 65535 1
P 160 71 65535 1
P 161 71 65535 1
P 162 71 65535 1
P 163 71 65535 1
P 164 71 65535 1
P 158 72 65535 1
P 159 72 65535 1
P 160 72 65535 1
P 161 72 65535 1
P 162 72 65535 1
P 163 72 65535 1
P 164 72 65535 1
P 158 73 65535 1
P 159 73 65535 1
P 160 73 65535 1
P 161 73 65535 1
P 162 73 65535 1
P 163 73 65535 1
P 164 73 65535 1
P 158 74 65535 1
P 159 74 65535 1
P 160 74 65535 1
P 161 74 65535 1
P 162 74 65535 1
P 163 74 65535 1
P 164 74 65535 1
P 158 75 65535 1
P 159 75 65535 1
P 160 75 65535 1
P 161 75 65535 1
P 162 75 65535 1
P 163 75 65535 1
P 164 75 65535 1
P 158 76 65535 1
P 159 76 65535 1
P 160 76 65535 1
P 161 76 65535 1
P 162 76 65535 1
P 163 76 65535 1
P 164 76 65535 1
P 158 77 65535 1
P 159 77 65535 1
P 160 77 65535 1
P 161 77 65535 1
P 162 77 65535 1
P 163 77 65535 1
P 164 77 65535 1
P 158 78 65535 1
P 159 78 65535 1
P 160 78 65535 1
P 161 78 65535 1
P 162 78 65535 1
