# depth buffer 320x240, 2 bytes per value, shared origin 0
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=0 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode software
P 160 41 60730 1
P 160 42 60041 1
P 161 42 52567 1
P 160 43 59352 1
P 161 43 51878 1
P 162 43 44405 1
P 160 44 58663 1
P 161 44 51189 1
P 162 44 43716 1
P 163 44 36242 1
P 160 45 57974 1
P 161 45 50500 1
P 162 45 43027 1
P 163 45 35553 1
P 164 45 28080 1
P 160 46 57285 1
P 161 46 49811 1
P 162 46 42338 1
P 163 46 34864 1
P 164 46 27391 1
P 165 46 19917 1
P 160 47 56596 1
P 161 47 49122 1
P 162 47 41649 1
P 163 47 34175 1
P 164 47 26702 1
P 165 47 19228 1
P 166 47 11755 1
P 159 48 63381 1
P 160 48 55907 1
P 161 48 48433 1
P 162 48 40960 1
P 163 48 33486 1
P 164 48 26013 1
P 165 48 18539 1
P 166 48 11066 1
P 167 48 3592 1
P 159 49 62692 1
P 160 49 55218 1
P 161 49 47744 1
P 162 49 40271 1
P 163 49 32797 1
P 164 49 25324 1
P 165 49 17850 1
P 166 49 10377 1
P 167 49 2903 1
P 159 50 62003 1
P 160 50 54529 1
P 161 50 47056 1
P 162 50 39582 1
P 163 50 32108 1
P 164 50 24635 1
P 165 50 17161 1
P 166 50 9688 1
P 167 50 2214 1
P 159 51 61314 1
P 160 51 53840 1
P 161 51 46367 1
P 162 51 38893 1
P 163 51 31419 1
P 164 51 23946 1
P 165 51 16472 1
P 166 51 8999 1
P 167 51 1525 1
P 159 52 60625 1
P 160 52 53151 1
P 161 52 45678 1
P 162 52 38204 1
P 163 52 30731 1
P 164 52 23257 1
P 165 52 15783 1
P 166 52 8310 1
P 159 53 59936 1
P 160 53 52462 1
P 161 53 44989 1
P 162 53 37515 1
P 163 53 30042 1
P 164 53 22568 1
P 165 53 15094 1
P 166 53 7621 1
P 159 54 59247 1
P 160 54 51773 1
P 161 54 44300 1
P 162 54 36826 1
P 163 54 29353 1
P 164 54 21879 1
P 165 54 14406 1
P 166 54 6932 1
P 159 55 58558 1
P 160 55 51084 1
