# shape B mode zplane ntri 2
# select hard 1 soft 0
# v0 40.2890625 40.2890625
# v1 200.2890625 40.2890625
# v2 200.2890625 180.2890625
# v3 40.2890625 180.2890625
# t0 0 1 2
# t1 0 2 3
# counters drawn=2 software=0 declined=0 warp=0
# mode hardware
# depth starts clamped: 0
Z 40 40 24070
Z 41 40 24130
Z 42 40 24191
Z 43 40 24251
Z 44 40 24311
Z 45 40 24372
Z 46 40 24432
Z 47 40 24493
Z 48 40 24553
Z 49 40 24613
Z 50 40 24674
Z 51 40 24734
Z 52 40 24794
Z 53 40 24855
Z 54 40 24915
Z 55 40 24975
Z 56 40 25036
Z 57 40 25096
Z 58 40 25157
Z 59 40 25217
Z 60 40 25277
Z 61 40 25338
Z 62 40 25398
Z 63 40 25458
Z 64 40 25519
Z 65 40 25579
Z 66 40 25640
Z 67 40 25700
Z 68 40 25760
Z 69 40 25821
Z 70 40 25881
Z 71 40 25941
Z 72 40 26002
Z 73 40 26062
Z 74 40 26123
Z 75 40 26183
Z 76 40 26243
Z 77 40 26304
Z 78 40 26364
Z 79 40 26424
Z 80 40 26485
Z 81 40 26545
Z 82 40 26605
Z 83 40 26666
Z 84 40 26726
Z 85 40 26787
Z 86 40 26847
Z 87 40 26907
Z 88 40 26968
Z 89 40 27028
Z 90 40 27088
Z 91 40 27149
Z 92 40 27209
Z 93 40 27270
Z 94 40 27330
Z 95 40 27390
Z 96 40 27451
Z 97 40 27511
Z 98 40 27571
Z 99 40 27632
Z 100 40 27692
Z 101 40 27753
Z 102 40 27813
Z 103 40 27873
Z 104 40 27934
Z 105 40 27994
Z 106 40 28054
Z 107 40 28115
Z 108 40 28175
Z 109 40 28235
Z 110 40 28296
Z 111 40 28356
Z 112 40 28417
Z 113 40 28477
Z 114 40 28537
Z 115 40 28598
Z 116 40 28658
Z 117 40 28718
Z 118 40 28779
Z 119 40 28839
Z 120 40 28900
Z 121 40 28960
Z 122 40 29020
Z 123 40 29081
Z 124 40 29141
Z 125 40 29201
Z 126 40 29262
Z 127 40 29322
Z 128 40 29383
Z 129 40 29443
Z 130 40 29503
Z 131 40 29564
Z 132 40 29624
Z 133 40 29684
Z 134 40 29745
Z 135 40 29805
Z 136 40 29865
Z 137 40 29926
Z 138 40 29986
Z 139 40 30047
Z 140 40 30107
Z 141 40 30167
Z 142 40 30228
Z 143 40 30288
Z 144 40 30348
Z 145 40 30409
Z 146 40 30469
Z 147 40 30530
Z 148 40 30590
Z 149 40 30650
Z 150 40 30711
Z 151 40 30771
Z 152 40 30831
Z 153 40 30892
Z 154 40 30952
Z 155 40 31012
Z 156 40 31073
Z 157 40 31133
Z 158 40 31194
Z 159 40 31254
Z 160 40 31314
Z 161 40 31375
Z 162 40 31435
Z 163 40 31495
Z 164 40 31556
Z 165 40 31616
Z 166 40 31677
Z 167 40 31737
Z 168 40 31797
Z 169 40 31858
Z 170 40 31918
Z 171 40 31978
Z 172 40 32039
Z 173 40 32099
Z 174 40 32160
Z 175 40 32220
Z 176 40 32280
Z 177 40 32341
Z 178 40 32401
Z 179 40 32461
Z 180 40 32522
Z 181 40 32582
Z 182 40 32642
Z 183 40 32703
Z 184 40 32763
Z 185 40 32824
Z 186 40 32884
Z 187 40 32944
Z 188 40 33005
Z 189 40 33065
Z 190 40 33125
Z 191 40 33186
Z 192 40 33246
Z 193 40 33307
Z 194 40 33367
Z 195 40 33427
Z 196 40 33488
Z 197 40 33548
Z 198 40 33608
Z 199 40 33669
Z 40 41 24110
Z 41 41 24170
Z 42 41 24231
Z 43 41 24291
Z 44 41 24352
Z 45 41 24412
Z 46 41 24472
Z 47 41 24533
Z 48 41 24593
Z 49 41 24653
Z 50 41 24714
Z 51 41 24774
Z 52 41 24834
Z 53 41 24895
Z 54 41 24955
Z 55 41 25016
Z 56 41 25076
Z 57 41 25136
Z 58 41 25197
Z 59 41 25257
Z 60 41 25317
Z 61 41 25378
Z 62 41 25438
Z 63 41 25499
Z 64 41 25559
Z 65 41 25619
Z 66 41 25680
Z 67 41 25740
Z 68 41 25800
Z 69 41 25861
Z 70 41 25921
Z 71 41 25982
Z 72 41 26042
Z 73 41 26102
Z 74 41 26163
Z 75 41 26223
Z 76 41 26283
Z 77 41 26344
Z 78 41 26404
Z 79 41 26464
Z 80 41 26525
Z 81 41 26585
Z 82 41 26646
Z 83 41 26706
Z 84 41 26766
Z 85 41 26827
Z 86 41 26887
Z 87 41 26947
Z 88 41 27008
Z 89 41 27068
Z 90 41 27129
Z 91 41 27189
Z 92 41 27249
Z 93 41 27310
Z 94 41 27370
Z 95 41 27430
Z 96 41 27491
Z 97 41 27551
Z 98 41 27612
Z 99 41 27672
Z 100 41 27732
Z 101 41 27793
Z 102 41 27853
Z 103 41 27913
Z 104 41 27974
Z 105 41 28034
Z 106 41 28094
Z 107 41 28155
Z 108 41 28215
Z 109 41 28276
Z 110 41 28336
Z 111 41 28396
Z 112 41 28457
Z 113 41 28517
Z 114 41 28577
Z 115 41 28638
Z 116 41 28698
Z 117 41 28759
Z 118 41 28819
Z 119 41 28879
Z 120 41 28940
Z 121 41 29000
Z 122 41 29060
Z 123 41 29121
Z 124 41 29181
Z 125 41 29242
Z 126 41 29302
Z 127 41 29362
Z 128 41 29423
Z 129 41 29483
Z 130 41 29543
Z 131 41 29604
Z 132 41 29664
Z 133 41 29724
Z 134 41 29785
