# shape B mode zplane ntri 2
# select hard 1 soft 0
# v0 40.2890625 40.2890625
# v1 200.2890625 40.2890625
# v2 200.2890625 180.2890625
# v3 40.2890625 180.2890625
# t0 0 1 2
# t1 0 2 3
# counters drawn=2 software=0 declined=0 warp=2
# mode hardware
# depth starts clamped: 0
Z 40 40 24073
Z 41 40 24134
Z 42 40 24194
Z 43 40 24254
Z 44 40 24315
Z 45 40 24375
Z 46 40 24436
Z 47 40 24496
Z 48 40 24556
Z 49 40 24617
Z 50 40 24677
Z 51 40 24737
Z 52 40 24798
Z 53 40 24858
Z 54 40 24919
Z 55 40 24979
Z 56 40 25039
Z 57 40 25100
Z 58 40 25160
Z 59 40 25220
Z 60 40 25281
Z 61 40 25341
Z 62 40 25401
Z 63 40 25462
Z 64 40 25522
Z 65 40 25583
Z 66 40 25643
Z 67 40 25703
Z 68 40 25764
Z 69 40 25824
Z 70 40 25884
Z 71 40 25945
Z 72 40 26005
Z 73 40 26066
Z 74 40 26126
Z 75 40 26186
Z 76 40 26247
Z 77 40 26307
Z 78 40 26367
Z 79 40 26428
Z 80 40 26488
Z 81 40 26549
Z 82 40 26609
Z 83 40 26669
Z 84 40 26730
Z 85 40 26790
Z 86 40 26850
Z 87 40 26911
Z 88 40 26971
Z 89 40 27031
Z 90 40 27092
Z 91 40 27152
Z 92 40 27213
Z 93 40 27273
Z 94 40 27333
Z 95 40 27394
Z 96 40 27454
Z 97 40 27514
Z 98 40 27575
Z 99 40 27635
Z 100 40 27696
Z 101 40 27756
Z 102 40 27816
Z 103 40 27877
Z 104 40 27937
Z 105 40 27997
Z 106 40 28058
Z 107 40 28118
Z 108 40 28179
Z 109 40 28239
Z 110 40 28299
Z 111 40 28360
Z 112 40 28420
Z 113 40 28480
Z 114 40 28541
Z 115 40 28601
Z 116 40 28661
Z 117 40 28722
Z 118 40 28782
Z 119 40 28843
Z 120 40 28903
Z 121 40 28963
Z 122 40 29024
Z 123 40 29084
Z 124 40 29144
Z 125 40 29205
Z 126 40 29265
Z 127 40 29326
Z 128 40 29386
Z 129 40 29446
Z 130 40 29507
Z 131 40 29567
Z 132 40 29627
Z 133 40 29688
Z 134 40 29748
Z 135 40 29808
Z 136 40 29869
Z 137 40 29929
Z 138 40 29990
Z 139 40 30050
Z 140 40 30110
Z 141 40 30171
Z 142 40 30231
Z 143 40 30291
Z 144 40 30352
Z 145 40 30412
Z 146 40 30473
Z 147 40 30533
Z 148 40 30593
Z 149 40 30654
Z 150 40 30714
Z 151 40 30774
Z 152 40 30835
Z 153 40 30895
Z 154 40 30956
Z 155 40 31016
Z 156 40 31076
Z 157 40 31137
Z 158 40 31197
