# shape E mode zplane ntri 4
# select hard 1 soft 0
# v0 40.0000000 60.0000000
# v1 120.0000000 52.0000000
# v2 200.0000000 64.0000000
# v3 280.0000000 56.0000000
# v4 48.0000000 180.0000000
# v5 128.0000000 188.0000000
# v6 208.0000000 176.0000000
# v7 288.0000000 184.0000000
# t0 0 4 1
# t1 4 5 1
# t2 1 5 2
# t3 5 6 2
# counters drawn=4 software=0 declined=0 warp=4
# mode hardware
# depth starts clamped: 0
Z 115 52 29079
Z 116 52 29139
Z 117 52 29199
Z 118 52 29260
Z 119 52 29320
Z 120 52 29380
Z 121 52 29441
Z 122 52 29501
Z 105 53 28515
Z 106 53 28575
Z 107 53 28636
Z 108 53 28696
Z 109 53 28756
Z 110 53 28817
Z 111 53 28877
Z 112 53 28938
Z 113 53 28998
Z 114 53 29058
Z 115 53 29119
Z 116 53 29179
Z 117 53 29239
Z 118 53 29300
Z 119 53 29360
Z 120 53 29420
Z 121 53 29481
Z 122 53 29541
Z 123 53 29602
Z 124 53 29662
Z 125 53 29722
Z 126 53 29783
Z 127 53 29843
Z 128 53 29903
Z 129 53 29964
Z 95 54 27951
Z 96 54 28012
Z 97 54 28072
Z 98 54 28132
Z 99 54 28193
Z 100 54 28253
Z 101 54 28314
Z 102 54 28374
Z 103 54 28434
Z 104 54 28495
Z 105 54 28555
Z 106 54 28615
Z 107 54 28676
Z 108 54 28736
Z 109 54 28797
Z 110 54 28857
Z 111 54 28917
Z 112 54 28978
Z 113 54 29038
Z 114 54 29098
Z 115 54 29159
Z 116 54 29219
Z 117 54 29279
Z 118 54 29340
Z 119 54 29400
Z 120 54 29461
Z 121 54 29521
Z 122 54 29581
Z 123 54 29642
Z 124 54 29702
Z 125 54 29762
Z 126 54 29823
Z 127 54 29883
Z 128 54 29944
Z 129 54 30004
Z 130 54 30064
Z 131 54 30125
Z 132 54 30185
Z 133 54 30245
Z 134 54 30306
Z 135 54 30366
Z 136 54 30426
Z 85 55 27388
Z 86 55 27448
Z 87 55 27508
Z 88 55 27569
Z 89 55 27629
Z 90 55 27690
Z 91 55 27750
Z 92 55 27810
Z 93 55 27871
Z 94 55 27931
Z 95 55 27991
Z 96 55 28052
Z 97 55 28112
Z 98 55 28173
Z 99 55 28233
Z 100 55 28293
Z 101 55 28354
Z 102 55 28414
Z 103 55 28474
Z 104 55 28535
Z 105 55 28595
Z 106 55 28656
Z 107 55 28716
Z 108 55 28776
Z 109 55 28837
Z 110 55 28897
Z 111 55 28957
Z 112 55 29018
Z 113 55 29078
Z 114 55 29138
Z 115 55 29199
Z 116 55 29259
Z 117 55 29320
Z 118 55 29380
Z 119 55 29440
